GRB_id,logTa_best,logTa_min,logTa_max,logTt,logTfinal,alpha_best,alpha_min,alpha_max,logFa,logFa_min,logFa_max
GRB070521,3.55243,3.50399,3.60087,1.8,5.5,1.44502,1.38882,1.50122,-10.0125,-10.0615,-9.96348
GRB070529,3.09323,3.02519,3.16128,2.2,5.8,1.21432,1.17931,1.24933,-10.2468,-10.302,-10.1916
GRB070714B,3.22974,3.13514,3.32434,2.47,5,1.64623,1.5378,1.75465,-10.7429,-10.8422,-10.6435
GRB070802,3.92184,3.6856,4.15809,2.5,5.5,1.16348,0.954603,1.37236,-11.672,-11.8459,-11.498
GRB070809,4.18985,3.98287,4.39684,2.4,5,1.17521,0.779564,1.57085,-11.9611,-12.1528,-11.7694
GRB070810A,3.36583,3.29396,3.4377,2,5,1.36994,1.29203,1.44786,-10.7777,-10.8395,-10.716
GRB080310,4.326080559,4.2880938,4.364067319,3,6,1.595906475,1.530630124,1.661182827,-11.39909559,-11.44156902,-11.35662216
GRB080319B,5.367999124,5.28037267,5.455625577,4.8,6.5,1.422509787,1.347369882,1.497649692,-12.15166808,-12.24944753,-12.05388862
GRB080319C,3.19029,3.15122,3.24548,1.4,6,1.45203,1.4267,1.48378,-8.91652,-8.96407,-8.86399
GRB080411,4.209325619,4.160050039,4.2586012,3.8,6.5,1.28909841,1.278801617,1.299395203,-10.11356029,-10.17399572,-10.05312486
GRB080430,4.217629106,4.179240584,4.256017629,2.5,6.5,0.992697628,0.971762559,1.013632697,-11.17223461,-11.20041558,-11.14405365
GRB080516,3.774528265,3.66347057,3.885585961,2.8,5,0.940169156,0.855280798,1.025057514,-11.12117508,-11.19897875,-11.04337142
GRB080607,3.462984031,3.393324717,3.532643345,3,6,1.725607399,1.687970012,1.763244787,-10.05407183,-10.16449255,-9.94365111
GRB080710,4.09266933,4.038458543,4.146880117,2,6,1.521337846,1.457321415,1.585354276,-11.2325386,-11.29523358,-11.16984362
GRB080721,2.87876286,2.871208044,2.886317675,2,6.1,1.334375589,1.327939916,1.340811262,-8.713485538,-8.720504837,-8.70646624
GRB080810,3.268754796,3.229016108,3.308493483,2.4,6,1.445295258,1.409155963,1.481434553,-9.931925517,-9.963756223,-9.900094811
GRB080905B,3.678206148,3.63938066,3.717031637,2.2,6,1.369462258,1.336160506,1.402764009,-10.11185797,-10.14422254,-10.0794934
GRB080928,4.084505029,4.036588261,4.132421798,3,5.5,1.760317743,1.684347008,1.836288478,-11.12613293,-11.19061697,-11.0616489
GRB081007,3.58176278,3.497478382,3.666047178,2.4,6.1,1.00469263,0.965557779,1.043827481,-10.58510158,-10.6382627,-10.53194047
