time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
580.297,1.237,-1.254,9.302675264157e-10,1.42256987556549e-10,-1.4267887219755e-10
583.102,1.492,-1.568,7.46668979583915e-10,1.14245838159441e-10,-1.14602283332461e-10
585.718,1.312,-1.125,9.31679552369546e-10,1.42671903762567e-10,-1.43149247419876e-10
588.515,1.242,-1.484,8.40813719915373e-10,1.28858629009361e-10,-1.2931758842058e-10
591.112,1.304,-1.356,8.65489994261961e-10,1.32418526316016e-10,-1.32829543510941e-10
594.048,1.865,-1.632,6.43330957003423e-10,1.03817588397621e-10,-1.04071661192603e-10
597.2,1.276,-1.286,9.28789348412732e-10,1.44807879744621e-10,-1.45275859894915e-10
599.642,1.401,-1.166,9.45457227902058e-10,1.47374268274989e-10,-1.47841565417949e-10
601.967,1.174,-0.924,1.16964580050652e-09,1.85071751578645e-10,-1.85479060028304e-10
604.683,1.97,-1.542,7.2509125844635e-10,1.12429439474075e-10,-1.12627689257216e-10
608.837,1.838,-2.185,6.15671068355947e-10,9.55394957103222e-11,-9.5727694307746e-11
611.902,2.043,-1.227,7.60839282962053e-10,1.15887209350863e-10,-1.16108767376787e-10
615.459,1.552,-1.513,7.82769386534908e-10,1.28468017346007e-10,-1.28710380450566e-10
618.49,1.565,-1.479,8.24457023916312e-10,1.26003808894256e-10,-1.26357865495365e-10
621.68,1.353,-1.625,7.59559450555845e-10,1.17908207828557e-10,-1.1815100961236e-10
624.414,1.74,-1.381,6.71498773447988e-10,1.04064316146279e-10,-1.04233705984932e-10
628.111,1.135,-1.957,7.04352817945063e-10,1.09338242866389e-10,-1.0956334404439e-10
631.081,1.566,-1.835,6.57742296612969e-10,1.03966085992113e-10,-1.04166462866745e-10
634.249,1.612,-1.601,6.9400028344292e-10,1.13816658828825e-10,-1.14009792185156e-10
637.671,1.49,-1.81,6.76948174229529e-10,1.07077520762751e-10,-1.07303844905259e-10
641.208,1.656,-2.048,6.0268017492269e-10,9.19903311012378e-11,-9.22170030959435e-11
644.37,1.901,-1.505,6.38925749576911e-10,9.93060601140111e-11,-9.95434243143565e-11
648.374,1.963,-2.104,5.43535959076515e-10,8.29145299328555e-11,-8.31060083153962e-11
651.96,2.035,-1.622,6.39335771072584e-10,9.76476754635917e-11,-9.79049774245608e-11
656.094,1.636,-2.099,7.23419676057887e-10,1.10797875190731e-10,-1.11173415077785e-10
659.394,1.839,-1.664,7.78980883015847e-10,1.21564761285944e-10,-1.21988655320374e-10
662.867,2.02,-1.634,6.94477279762363e-10,1.07884874502039e-10,-1.0812798150372e-10
666.39,1.141,-1.503,8.99453138896287e-10,1.39605666000101e-10,-1.3988828975222e-10
669.16,1.376,-1.629,7.68760991626893e-10,1.21596556338891e-10,-1.21852601431752e-10
671.883,1.738,-1.347,7.48785795750436e-10,1.18505430733644e-10,-1.18773150797788e-10
675.603,1.476,-1.982,7.300522086142e-10,1.13497197983455e-10,-1.13775895023229e-10
678.82,2.177,-1.741,6.73029056335066e-10,1.06551907172984e-10,-1.06802224013453e-10
682.538,1.556,-1.541,8.42822814925539e-10,1.28630755784265e-10,-1.28943996149579e-10
686.03,2.009,-1.935,6.08292351672402e-10,9.61568021297757e-11,-9.63440021061103e-11
689.743,1.577,-1.704,7.01303457583431e-10,1.06747706393573e-10,-1.06933510633928e-10
693.385,1.873,-2.066,5.42413481992017e-10,8.72348052511654e-11,-8.73701339542295e-11
696.23,1.105,-0.972,1.15398628118731e-09,1.78911791516882e-10,-1.7922212456487e-10
699.148,1.832,-1.814,7.27309808615315e-10,1.10774137520998e-10,-1.10984322494668e-10
702.703,1.555,-1.723,7.82856600520013e-10,1.21486517000396e-10,-1.2172668797911e-10
706.226,1.821,-1.967,6.3589952980178e-10,1.00652370371e-10,-1.00883085199086e-10
710.34,1.676,-2.294,5.92393653488596e-10,9.04199672710552e-11,-9.06426451253187e-11
714.127,1.458,-2.111,6.29258935677886e-10,9.58173847669391e-11,-9.59933105043875e-11
716.902,1.307,-1.317,5.24125084744425e-10,1.3918384769482e-10,-1.39275921178425e-10
720.292,1.641,-2.083,6.1166092449926e-10,9.50579946760423e-11,-9.52824399054604e-11
723.618,1.542,-1.685,7.22271125696318e-10,1.16648617934987e-10,-1.16959054011791e-10
727.218,1.877,-2.058,6.30984895755129e-10,9.65551668281553e-11,-9.68591258343165e-11
730.908,1.897,-1.812,6.45995833384099e-10,9.87026009000239e-11,-9.89727653960944e-11
734.721,1.898,-1.916,6.4272646161485e-10,9.80104376288945e-11,-9.82274237170781e-11
